Marca,Modelo,Año,Motor,Transmision,Combustible,Asientos,KM,Precio
Toyota,Land Cruiser,2016,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,148'000,"B/.60,999"
Mazda,CX-3,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,64'000,"B/.15,500"
Mercedes Benz,CLS 53,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,15'000,"B/.68,000"
Nissan,Kicks,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,56'000,"B/.12,500 (Rebajado 3%)"
Porsche,911,2014,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,13'334,"B/.135,000"
BMW,X5,2018,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,48'900,"B/.27,900"
BMW,X1,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,30'000,"B/.17,900"
Subaru,Forester,2014,4 CILINDROS TURBO,Automática,Gasolina,5 Pasajeros,95'000,"B/.12,950 (Rebajado 7%)"
Chevrolet,Tahoe,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,58'000,"B/.38,000"
Toyota,Prado,2010,4 CILINDRO TURBO DIESEL,Automática,Gasolina,7 Pasajeros,1,"B/.19,800"
MG,3,2014,4 cilindro,Manual,Gasolina,4 Pasajeros,1,"B/.4,900 (Rebajado 1%)"
Porsche,Cayenne,2012,¡Pregunta al anunciante!,Automática,Gas,¡Pregunta al anunciante!,116'629,"B/.13,500 (Rebajado 16%)"
Porsche,718 Boxster,2017,¡Pregunta al anunciante!,Automática,Gas,¡Pregunta al anunciante!,46'000,"B/.56,888"
Mercedes Benz,GLA-Class,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,84'599,"B/.14,999"
Nissan,Murano,2022,¡Pregunta al anunciante!,Automática,Gas,¡Pregunta al anunciante!,29'500,"B/.24,500"
Toyota,Hilux,2018,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,70'000,"B/.31,000"
Ford,Explorer,2014,¡Pregunta al anunciante!,Automática,Gasolina,7 Pasajeros,116'000,"B/.11,000"
BMW,330,2019,2.0L Turbo,Automática,Gasolina,5 Pasajeros,19'900,"B/.34,499 (Rebajado 1%)"
Ford,Bronco,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,20'000,"B/.53,000 (Rebajado 4%)"
BMW,X5,2013,V6,Automática,Gasolina,5 Pasajeros,100'000,"B/.8,950 (Rebajado 10%)"
Subaru,Forester,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,120'000,"B/.12,500"
Ford,F-150,2012,V6 TURBO,Automática,Gasolina,5 Pasajeros,1,"B/.14,950 (Rebajado 6%)"
Infiniti,QX56,2006,V8,Automática,Gasolina,5 Pasajeros,1,"B/.6,900"
GMC,Yukon,2008,V8,Automática,Gasolina,7 Pasajeros,1,"B/.8,950 (Rebajado 6%)"
Suzuki,SX4,2017,4 CILINDRO,Automática,Gasolina,5 Pasajeros,1,"B/.8,900"
Nissan,Murano,2011,V6,Automática,Gasolina,5 Pasajeros,1,"B/.5,964 (Rebajado 54%)"
Nissan,Frontier,2022,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,1,"B/.17,499 (Rebajado 3%)"
Changan,CS75 PLUS,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,26'000,"B/.24,999 (Rebajado 7%)"
Land Rover,Discovery,2015,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,115'000,"B/.20,900 (Rebajado 9%)"
Volvo,XC90,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,47'000,"B/.35,900 (Rebajado 3%)"
Isuzu,D-MAX,2017,2. 5,5+,Diesel,2 Pasajeros,169'000,"B/.17,775 (Rebajado 1%)"
Ford,Explorer,2013,3500 cc,Automática,Gasolina,7 Pasajeros,93'000,"B/.11,500"
Ford,F-150,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,1,"B/.31,999"
Nissan,Frontier,2016,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,1,"B/.19,799"
Porsche,Panamera,2012,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,35'000,"B/.16,900 (Rebajado 11%)"
Audi,Q5,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,18'000,"B/.29,900 (Rebajado 9%)"
Honda,HR-V,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,45'000,"B/.13,500"
Toyota,Prado,2018,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,234'626,"B/.34,000"
Honda,Odyssey,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,1,"B/.26,999 (Rebajado 8%)"
Dongfeng,T5EVO,2024,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,14'000,"B/.21,499 (Rebajado 4%)"
Lexus,NX 300h,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,57'400,"B/.23,750"
Volvo,XC90,2022,¡Pregunta al anunciante!,Automática,Híbrido,¡Pregunta al anunciante!,27'800,"B/.50,499"
GAC Motors,GS8,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,45'000,"B/.23,499"
Mitsubishi,Outlander,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,66'183,"B/.17,999"
Mazda,CX-5,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,103'976,"B/.16,500"
BMW,Serie 1,2017,¡Pregunta al anunciante!,Automática,Eléctrico,¡Pregunta al anunciante!,34'436,"B/.14,999"
Toyota,Land Cruiser,2015,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,73'277,"B/.32,999"
Ford,Edge,2017,¡Pregunta al anunciante!,Automática,Gasolina,5 Pasajeros,76'000,"B/.20,650 (Rebajado 2%)"
Nissan,Frontier,2023,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,22'442,"B/.27,500"
Bentley,Continental GTC,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,3'000,"B/.325,000"
Tesla,Model 3,2023,¡Pregunta al anunciante!,Automática,Eléctrico,¡Pregunta al anunciante!,2'800,"B/.46,888"
Lexus,LC 500,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,7'800,"B/.68,888"
Mazda,CX-5,2024,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,936,"B/.22,995 (Rebajado 4%)"
Volvo,XC90,2022,¡Pregunta al anunciante!,Automática,Híbrido,¡Pregunta al anunciante!,27'800,"B/.50,499"
GAC Motors,GS8,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,45'000,"B/.23,499"
Mitsubishi,Outlander,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,66'183,"B/.17,999"
Mazda,CX-5,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,103'976,"B/.16,500"
BMW,Serie 1,2017,¡Pregunta al anunciante!,Automática,Eléctrico,¡Pregunta al anunciante!,34'436,"B/.14,999"
GAC Motors,GS8,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,45'000,"B/.23,499"
Ford,Edge,2017,¡Pregunta al anunciante!,Automática,Gasolina,5 Pasajeros,76'000,"B/.20,650 (Rebajado 2%)"
Nissan,Frontier,2023,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,22'442,"B/.27,500"
Bentley,Continental GTC,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,3'000,"B/.325,000"
Tesla,Model 3,2023,¡Pregunta al anunciante!,Automática,Eléctrico,¡Pregunta al anunciante!,2'800,"B/.46,888"
Lexus,LC 500,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,7'800,"B/.68,888"
Mazda,CX-5,2024,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,936,"B/.22,995 (Rebajado 4%)"
Volvo,XC90,2022,¡Pregunta al anunciante!,Automática,Híbrido,¡Pregunta al anunciante!,27'800,"B/.50,499"
GAC Motors,GS8,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,45'000,"B/.23,499"
Mitsubishi,Outlander,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,66'183,"B/.17,999"
Suzuki,Jimny,2022,1.5,Automática,Gasolina,4 Pasajeros,45'000,"B/.17,500"
Hyundai,Tucson,2022,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,39'000,"B/.17,999"
Mercedes Benz,AMG GT,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,38'000,"B/.89,900 (Rebajado 3%)"
Suzuki,Jimny,2022,1.5,Automática,Gasolina,4 Pasajeros,45'000,"B/.17,500"
Hyundai,Tucson,2022,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,39'000,"B/.17,999"
Mercedes Benz,AMG GT,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,38'000,"B/.89,900 (Rebajado 3%)"
Nissan,Frontier,2017,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,140'945,"B/.14,999"
Chevrolet,Express,2019,6.0L,Automática,Gasolina,10-15 Pasajeros,121'495,"B/.14,900"
Mercedes Benz,GLA-Class,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,73'061,"B/.18,999"
Nissan,Frontier,2023,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,66'830,"B/.35,999"
Honda,CR-V,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,5'499,"B/.36,999 (Rebajado 5%)"
Mitsubishi,Eclipse,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,38'916,"B/.22,999"
BMW,X5,2014,4.4 LITROS,Automática,Gasolina,5 Pasajeros,108'000,"B/.19,000"
BMW,X5,2020,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,41'000,"B/.49,995"
Mazda,CX-5,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,52'000,"B/.15,995 (Rebajado 6%)"
Nissan,Qashqai,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,30'281,"B/.16,995"
Geely,Azkarra,2023,¡Pregunta al anunciante!,Automática,Híbrido,¡Pregunta al anunciante!,7'500,"B/.24,995"
Toyota,Rush,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,3'500,"B/.18,995 (Rebajado 41%)"
Toyota,Land Cruiser,2021,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,39'683,"B/.79,999"
Honda,CR-V,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,72'000,"B/.18,995 (Rebajado 3%)"
Toyota,Rush,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,3'500,"B/.18,995 (Rebajado 41%)"
Toyota,Land Cruiser,2021,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,39'683,"B/.79,999"
Honda,CR-V,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,72'000,"B/.18,995 (Rebajado 3%)"
Mercedes Benz,GLC-Class Coupe,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,53'000,"B/.24,995 (Rebajado 7%)"
Nissan,Frontier,2022,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,48'340,"B/.31,995 (Rebajado 6%)"
Toyota,Prado,2020,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,1,"B/.44,499 (Rebajado 5%)"
Kia,Picanto,2015,¡Pregunta al anunciante!,Automática,Gasolina,5 Pasajeros,40'000,"B/.8,000 (Rebajado 6%)"
Honda,Pilot,2013,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,100'291,"B/.13,995"
Toyota,Rush,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,3'500,"B/.18,995 (Rebajado 41%)"
Toyota,Land Cruiser,2021,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,39'683,"B/.79,999"
Honda,CR-V,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,72'000,"B/.18,995 (Rebajado 3%)"
Mercedes Benz,GLC-Class Coupe,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,53'000,"B/.24,995 (Rebajado 7%)"
Nissan,Frontier,2022,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,48'340,"B/.31,995 (Rebajado 6%)"
Toyota,Prado,2020,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,1,"B/.44,499 (Rebajado 5%)"
Kia,Picanto,2015,¡Pregunta al anunciante!,Automática,Gasolina,5 Pasajeros,40'000,"B/.8,000 (Rebajado 6%)"
Honda,Pilot,2013,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,100'291,"B/.13,995"
BMW,X5 eDrive,2020,3000 cilindrada,Automática,Gasolina,5 Pasajeros,21'000,"B/.55,000 (Rebajado 2%)"
BMW,X4,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,68'000,"B/.19,995 (Rebajado 15%)"
BMW,X1,2024,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,11'651,"B/.42,995"
BMW,X5,2014,4.4 LITROS,Automática,Gasolina,5 Pasajeros,108'000,"B/.19,000"
Toyota,RAV4,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,65'000,"B/.24,995"
Hyundai,Tucson,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,77'000,"B/.18,995 (Rebajado 5%)"
Toyota,Yaris,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,79'000,"B/.12,995 (Rebajado 4%)"
Kia,Rio,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,76'000,"B/.11,995 (Rebajado 8%)"
Ford,Bronco,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,20'000,"B/.50,000 (Rebajado 6%)"
Ford,EDGE,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,65'000,"B/.20,995"
Mercedes Benz,GLA-Class,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,73'061,"B/.18,999"
Nissan,Frontier,2023,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,66'830,"B/.35,999"
Honda,CR-V,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,5'499,"B/.36,999 (Rebajado 5%)"
Toyota,Land Cruiser,2021,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,39'683,"B/.79,999"
Mitsubishi,Eclipse,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,38'916,"B/.22,999"
Nissan,Qashqai,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,30'281,"B/.16,995"
Mazda,CX-5,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,22'662,"B/.21,000"
BMW,X6 M,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,57'000,"B/.33,500 (Rebajado 4%)"
Toyota,Rush,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,3'500,"B/.18,995 (Rebajado 41%)"
Mazda,CX-5,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,52'000,"B/.15,995 (Rebajado 6%)"
Mazda,CX-5,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,93'000,"B/.10,995 (Rebajado 8%)"
Mazda,CX-5,2024,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,936,"B/.22,995 (Rebajado 4%)"
Toyota,Corolla,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,21'000,"B/.21,995"
Mercedes Benz,GLC-Class Coupe,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,53'000,"B/.24,995 (Rebajado 7%)"
Nissan,Frontier,2022,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,48'340,"B/.31,995 (Rebajado 6%)"
Geely,Azkarra,2023,¡Pregunta al anunciante!,Automática,Híbrido,¡Pregunta al anunciante!,7'500,"B/.24,995"
BMW,X3,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,92'000,"B/.12,995 (Rebajado 7%)"
BMW,X6,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,55'000,"B/.28,995"
Nissan,Pathfinder,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,74'044,"B/.8,999"
Nissan,Frontier,2017,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,140'945,"B/.14,999"
Mazda,CX-5,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,22'662,"B/.21,000"
BMW,X6 M,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,57'000,"B/.33,500 (Rebajado 4%)"
Toyota,Rush,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,3'500,"B/.18,995 (Rebajado 41%)"
Mazda,CX-5,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,22'662,"B/.21,000"
BMW,X6 M,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,57'000,"B/.33,500 (Rebajado 4%)"
Mazda,CX-5,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,22'662,"B/.21,000"
BMW,X6 M,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,57'000,"B/.33,500 (Rebajado 4%)"
Toyota,Rush,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,3'500,"B/.18,995 (Rebajado 41%)"
BMW,X6 M,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,57'000,"B/.33,500 (Rebajado 4%)"
Mazda,CX-5,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,93'000,"B/.10,995 (Rebajado 8%)"
Mazda,CX-5,2024,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,936,"B/.22,995 (Rebajado 4%)"
Toyota,Corolla,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,21'000,"B/.21,995"
Mercedes Benz,GLC-Class Coupe,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,53'000,"B/.24,995 (Rebajado 7%)"
Nissan,Frontier,2022,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,48'340,"B/.31,995 (Rebajado 6%)"
Geely,Azkarra,2023,¡Pregunta al anunciante!,Automática,Híbrido,¡Pregunta al anunciante!,7'500,"B/.24,995"
BMW,X3,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,92'000,"B/.12,995 (Rebajado 7%)"
BMW,X6,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,55'000,"B/.28,995"
Nissan,Pathfinder,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,74'044,"B/.8,999"
Nissan,Frontier,2017,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,140'945,"B/.14,999"
Hyundai,Tucson,2016,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,167'382,"B/.8,500"
BMW,X4,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,68'000,"B/.19,995 (Rebajado 15%)"
Acura,RDX,2014,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,77'000,"B/.10,500 (Rebajado 45%)"
Kia,Sportage,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,147'497,"B/.13,900"
Honda,HR-V,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,84'417,"B/.14,900"
Ford,Explorer,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,125'436,"B/.11,900"
Suzuki,XL7,2023,"1,5",Automática,Gasolina,7 Pasajeros,36'000,"B/.16,500"
Mercedes Benz,180,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,57'067,"B/.13,900"
Chevrolet,N 400,2022,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,50'000,"B/.8,995"
Suzuki,Jimny,2022,1.5,Automática,Gasolina,4 Pasajeros,45'000,"B/.17,000"
Volvo,XC40,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,51'000,"B/.25,999 (Rebajado 6%)"
Toyota,Yaris,2022,1.5,Automática,Gasolina,5 Pasajeros,45'000,"B/.13,800"
Peugeot,2008,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,57'000,"B/.7,995"
Mazda,CX-5,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,24'264,"B/.22,995 (Rebajado 4%)"
Kia,Picanto,2015,¡Pregunta al anunciante!,Automática,Gasolina,5 Pasajeros,40'000,"B/.8,000 (Rebajado 6%)"
Honda,CR-V,2020,¡Pregunta al anunciante!,Automática,Gasolina,5 Pasajeros,26'300,"B/.22,800 (Rebajado 4%)"
Ford,Ranger,2021,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,53'000,"B/.39,999"
Ford,Ranger,2016,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,118'000,"B/.18,999"
Land Rover,Range Rover Sport,2016,3.0,Automática,Diesel,5 Pasajeros,74'000,"B/.33,400"
Toyota,Land Cruiser,2017,3.0 turbo Disel,Automática,Diesel,7 Pasajeros,112'000,"B/.31,300"
Porsche,Boxster,2008,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,36'000,"B/.18,800 (Rebajado 5%)"
Toyota,Prado,2022,2.8 TURBO DIESEL,Automática,Diesel,7 Pasajeros,19'800,"B/.50,999 (Rebajado 1%)"
Land Rover,Range Rover Velar,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,43'750,"B/.39,995 (Rebajado 11%)"
Nissan,Qashqai,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,87'000,"B/.13,995"
Honda,HR-V,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,77'820,"B/.11,995 (Rebajado 8%)"
BMW,X5,2014,¡Pregunta al anunciante!,Automática,Diesel,5 Pasajeros,100'000,"B/.17,900 (Rebajado 3%)"
BMW,X1,2024,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,11'651,"B/.42,995"
Mercedes Benz,GLS-Class,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,74'000,"B/.63,500 (Rebajado 9%)"
BMW,X5,2020,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,41'000,"B/.49,995"
Toyota,Prado,2022,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,19'000,"B/.64,499"
Land Rover,Range Rover Sport,2006,v8,Automática,Gasolina,5 Pasajeros,1,"B/.6,900"
BMW,3 Series,2015,4 CILINDROS,Automática,Gasolina,7 Pasajeros,90'000,"B/.9,950"
Hyundai,Santa Fe,2015,4 CILINDROS,Automática,Gasolina,5 Pasajeros,1,"B/.9,954 (Rebajado 9%)"
Mazda,CX-5,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,93'000,"B/.10,995 (Rebajado 8%)"
Hyundai,Kona,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,44'000,"B/.15,999"
Honda,Civic,2018,4 CILINDROS,Manual,Gasolina,5 Pasajeros,1,"B/.12,950 (Rebajado 7%)"
Porsche,Panamera S,2012,V8,Automática,Gasolina,4 Pasajeros,1,"B/.18,950"
Subaru,Forester,2014,4 CILINDROS TURBO,Automática,Gasolina,5 Pasajeros,95'000,"B/.12,950 (Rebajado 7%)"
Jeep,Grand Cherokee,2014,V6,Automática,Gasolina,5 Pasajeros,2,"B/.15,900 (Rebajado 2%)"
Chevrolet,Colorado,2014,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,104'000,"B/.14,995 (Rebajado 50%)"
Toyota,Corolla,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,21'000,"B/.21,995"
Ford,Escape,2020,1.5 3 CLY Turbo,Automática,Gasolina,5 Pasajeros,26'200,"B/.13,995"
Toyota,Yaris,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,79'000,"B/.12,995 (Rebajado 4%)"
Kia,Rio,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,76'000,"B/.11,995 (Rebajado 8%)"
Ford,Explorer,2021,2.3 Ecoboost 4CLY Turbo,Automática,Gasolina,7 Pasajeros,69'870,"B/.25,995"
Ford,Mustang,2006,4 CILINDRO,Automática,Gasolina,4 Pasajeros,1,"B/.6,958 (Rebajado 7%)"
Mazda,CX-9,2023,4CLY turbo,Automática,Gasolina,7 Pasajeros,20'635,"B/.32,995"
